Camera_Name,URL,Latitude,Longitude
0010_I-4_WB_MM_58.5,,28.26764,-81.60697
0020_I-4_WB_MM_59.5,,28.2806,-81.59473
0030_I-4_WB_MM_59.7,,28.28722,-81.58847
0040_I-4_EB_MM_60.6,,28.29323,-81.5824
0050_I-4_WB_MM_61.7,,28.30664,-81.56974
0060_I-4_WB_MM_62.9,,28.313376,-81.563396
0070_I-4_M_MM_63.2,,28.3151,-81.56168
0080_I-4_EB_MM_64.1,,28.33671,-81.54141
0090_I-4_WB_MM_64.1,,28.32957,-81.54852
0100_I-4_M_MM_65.3,,28.34431,-81.53421
0110_I-4_WB_MM_65.8,,28.35144,-81.5278
0120_I-4_WB_MM_66.5,,28.35824,-81.52211
0130_I-4_M_MM_67.3,,28.36643,-81.51476
0140_I-4_M_MM_68.2,,28.37343,-81.50809
0150_I-4_EB_MM_69.0,,28.38747,-81.49548
0160_I-4_EB_MM_69.7,,28.39943,-81.48474
0170_I-4_M_MM_70.9,,28.41178,-81.47444
0180_I-4_EB_MM_71.8,,28.42086,-81.47408
0190_I-4_EB_MM_72.6,,28.43248,-81.47411
0200_I-4_EB_MM_73.7,,28.45133,-81.46928
0201_I-4_EB_MM_74.0_STATIC,,28.45133,-81.46928
0210_I-4_M_MM_74.3,,28.45726,-81.47407
0220_I-4_M_MM_74.6,,28.4638,-81.4678
0230_I-4_EB_MM_75.0,,28.46654,-81.46226
0240_I-4_WB_MM_75.0,,28.4665,-81.46454
0250_I-4_EB_MM_75.4,,28.46797,-81.45948
0260_I-4_EB_MM_75.9,,28.47817,-81.44991
0270_I-4_EB_MM_76.3,,28.47911,-81.44875
0280_I-4_WB_MM_77.7-Conroy,,28.49598,-81.43127
0290_I-4_EB_MM_78.4,,28.501765,-81.426267
0300_I-4_EB_MM_79.1-JYP,,28.5058,-81.422
0310_I-4_EB_MM_80.2,,28.509567,-81.40381
0320_I-4_EB_MM_80.4-OBT,,28.51122,-81.39495
0321_I-4_WB_MM_80.4-OBT,,28.51122,-81.39495
0330_I-4_EB_MM_81.0-Michigan,,28.51604,-81.38809
0340_I-4_EB_MM_81.4-Kaley,,28.52109,-81.3861
0350_I-4_WB_MM_82.1-KaleyWest,,28.52357,-81.38631
0360_I-4_EB_MM_82.7-Anderson,,28.53836,-81.38195
0370_I-4_M_MM_83.2-Church,,28.54217,-81.38242
0380_I-4_EB_MM_83.4-SR50,,28.55418,-81.38216
0390_I-4_EB_MM_84.3-Ivanhoe,,28.55768,-81.38098
0400_I-4_EB_MM_85.1-Princeton,,28.57044,-81.37586
0410_I-4_EB_MM_85.8-Par,,28.58182,-81.37521
0420_I-4_EB_MM_86.4-Formosa,,28.59114,-81.37996
0430_I-4_EB_MM_86.8-Fairbanks,,28.59424,-81.38332
0440_I-4_EB_MM_87.2-FbnkCurve,,28.59911,-81.38632
0450_I-4_EB_MM_87.7-Lee,,28.60691,-81.38639
0460_I-4_EB_MM_88.5-Kennedy,,28.619,-81.38652
0470_I-4_EB_MM_89.5-Maitland,,28.63186,-81.38791
0480_I-4_EB_MM_91.6,,28.6573,-81.38841
0490_I-4_EB_MM_91.7,,28.66165,-81.38849
0500_I-4_WB_MM_92.3,,28.67503,-81.38876
0510_I-4_WB_MM_93.5,,28.68868,-81.38862
0520_I-4_WB_MM_94.6,,28.70123,-81.3835
0530_I-4_WB_MM_95.3,,28.71543,-81.37767
0540_I-4_EB_MM_96.3,,28.726879,-81.37359
0541_I-4_EB_MM_96.3-TPAS,,28.726879,-81.37359
0550_I-4_WB_MM_96.4,,28.7252,-81.3742
0560_I-4_EB_MM_97.4,,28.74441,-81.36733
0570_I-4_EB_MM_98.3,,28.75729,-81.36279
0580_I-4_WB_MM_99.2,,28.76808,-81.35897
0590_I-4_EB_MM_100.0,,28.77996,-81.35355
0600_I-4_EB_MM_100.5,,28.78745,-81.34976
0610_I-4_WB_MM_101.3,,28.79638,-81.34558
0610_I-4_WB_MM_101.5,,28.79638,-81.34558
0615_I-4_EB_MM_101.5,,28.79638,-81.34558
0620_I-4_M_MM_102.4,,28.81386,-81.33639
0630_I-4_WB_MM_103.2,,28.82001,-81.33384
0635_I-4_WB_MM_103.7,,28.828106,-81.326911
0640_I-4_M_MM_104.3,,28.83372,-81.3206
0650_I-4_M_MM_104.7,,28.83756,-81.31676
0660_I-4_EB_MM_105.7,,28.84483,-81.30972
0670_I-4_WB_MM_106.6,,28.85746,-81.29742
0680_I-4_EB_MM_107.4,,28.87024,-81.28495
0690_I-4_EB_MM_108.4,,28.88271,-81.28087
0700_I-4_EB_MM_109.1,,28.89171,-81.27775
0710_I-4_EB_MM_109.8,,28.9013,-81.27471
0720_I-4_WB_MM_109.7,,28.89992,-81.27651
0730_I-4_EB_MM_110.6,,28.91261,-81.27114
0740_I-4_EB_MM_111.8,,28.92521,-81.26711
0750_I-4_EB_MM_112.7,,28.94275,-81.26154
0760_I-4_EB_MM_113.8,,28.95648,-81.25718
0770_I-4_WB_MM_114.2,,28.96654,-81.25399
0780_I-4_EB_MM_115.1,,28.98085,-81.24943
0790_I-4_EB_MM_115.8,,28.98563,-81.24788
0800_I-4_EB_MM_116.6,,28.99547,-81.24506
0810_I-4_WB_MM_117.3,,29.00642,-81.24146
0820_I-4_EB_MM_118.5,,29.01915,-81.23008
0830_I-4_EB_MM_119.5,,29.02368,-81.22584
0840_I-4_WB_MM_120.2,,29.03103,-81.21923
0850_I-4_EB_MM_120.4,,29.04067,-81.20971
0860_I-4_EB_MM_121.4,,29.05192,-81.19911
0870_I-4_EB_MM_122.4,,29.06309,-81.18833
0880_I-4_WB_MM_122.5,,29.06448,-81.18782
0890_I-4_EB_MM_123.6,,29.07535,-81.17692
0900_I-4_EB_MM_124.4,,29.08532,-81.16748
0910_I-4_EB_MM_125.4,,29.09646,-81.15689
0920_I-4_EB_MM_126.3,,29.10691,-81.147
0930_I-4_EB_MM_127.8,,29.12198,-81.13272
0940_I-4_EB_MM_128.8,,29.13475,-81.12047
0950_I-4_WB_MM_129.4,,29.14012,-81.11212
0960_I-4_EB_MM_130.3,,29.14468,-81.10068
0970_I-4_WB_MM_131.5,,29.14628,-81.09697